edge_id,node_name,time_slot,edge_name_description,group_name,role
Event_Communication_1,The Lookout,2040-10-01,"Hey The Intern, it's The Lookout! Just spotted a pod of dolp…",,
Event_Communication_1,The Intern,2040-10-01,"Hey The Intern, it's The Lookout! Just spotted a pod of dolp…",,
Event_Communication_2,The Lookout,2040-10-01,"Hey The Lookout, The Intern here! I'd absolutely love to joi…",,
Event_Communication_2,Mrs. Money,2040-10-01,"Hey The Lookout, The Intern here! I'd absolutely love to joi…",,
Event_Communication_2,The Intern,2040-10-01,"Hey The Lookout, The Intern here! I'd absolutely love to joi…",,
Event_Communication_3,Kelly,2040-10-01,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for bir…",,
Event_Communication_3,Sam,2040-10-01,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for bir…",,
Event_Communication_5,The Lookout,2040-10-01,"Mrs. Money, it's The Intern. Just checking in to see what ta…",,
Event_Communication_5,Mrs. Money,2040-10-01,"Mrs. Money, it's The Intern. Just checking in to see what ta…",,
Event_Communication_5,The Intern,2040-10-01,"Mrs. Money, it's The Intern. Just checking in to see what ta…",,
Event_Communication_6,Boss,2040-10-01,"Boss, it's Mrs. Money. I've reviewed our operational funding…",,
Event_Communication_6,Mrs. Money,2040-10-01,"Boss, it's Mrs. Money. I've reviewed our operational funding…",,
Event_Communication_6,The Middleman,2040-10-01,"Boss, it's Mrs. Money. I've reviewed our operational funding…",,
Event_Communication_7,Boss,2040-10-01,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to …",,
Event_Communication_7,Mrs. Money,2040-10-01,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to …",,
Event_Communication_7,The Middleman,2040-10-01,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to …",,
Event_Communication_8,Nemo Reef,2040-10-01,"Boss, Mrs. Money here. I'll bring the updated projections fo…",,
Event_Communication_8,Boss,2040-10-01,"Boss, Mrs. Money here. I'll bring the updated projections fo…",,
Event_Communication_8,Mrs. Money,2040-10-01,"Boss, Mrs. Money here. I'll bring the updated projections fo…",,
Event_Communication_9,Nemo Reef,2040-10-01,"Middleman, this is Boss. I'd like to move our meeting forwar…",,
Event_Communication_9,Boss,2040-10-01,"Middleman, this is Boss. I'd like to move our meeting forwar…",,
Event_Communication_10,Nemo Reef,2040-10-01,"Boss, this is The Middleman. I can meet earlier as requested…",,
Event_Communication_10,Boss,2040-10-01,"Boss, this is The Middleman. I can meet earlier as requested…",,
Event_Communication_10,The Middleman,2040-10-01,"Boss, this is The Middleman. I can meet earlier as requested…",,
Event_Communication_11,Nemo Reef,2040-10-01,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the u…",,
Event_Communication_11,Boss,2040-10-01,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the u…",,
Event_Communication_12,Nemo Reef,2040-10-01,"Boss, this is Middleman. I'll be at the marina tomorrow at 4…",,
Event_Communication_12,Boss,2040-10-01,"Boss, this is Middleman. I'll be at the marina tomorrow at 4…",,
Event_Communication_13,Serenity,2040-10-01,"Ahoy, this is the luxury yacht Serenity. I've heard you're f…",,
Event_Communication_13,Nemo Reef,2040-10-01,"Ahoy, this is the luxury yacht Serenity. I've heard you're f…",,
Event_Communication_15,Azure Cove,2040-10-01,"Serenity, this is Mako. For premium diving comparable to Nem…",,
Event_Communication_15,Nemo Reef,2040-10-01,"Serenity, this is Mako. For premium diving comparable to Nem…",,
Event_Communication_15,Mako,2040-10-01,"Serenity, this is Mako. For premium diving comparable to Nem…",,
Event_Communication_15,Serenity,2040-10-01,"Serenity, this is Mako. For premium diving comparable to Nem…",,
Event_Communication_16,Serenity,2040-10-01,"Reef Guardian, this is Serenity. My owner is quite disappoin…",,
Event_Communication_16,Nemo Reef,2040-10-01,"Reef Guardian, this is Serenity. My owner is quite disappoin…",,
Event_Communication_16,Reef Guardian,2040-10-01,"Reef Guardian, this is Serenity. My owner is quite disappoin…",,
Event_Communication_17,Mako,2040-10-01,Harbor Master to Mako. Confirming your 07:00 departure today…,,
Event_Communication_17,Remora,2040-10-01,Harbor Master to Mako. Confirming your 07:00 departure today…,,
Event_Communication_20,Coral Point,2040-10-01,"Davis, Mako here. Just completed documentation of our sites.…",,
Event_Communication_20,Mako,2040-10-01,"Davis, Mako here. Just completed documentation of our sites.…",,
Event_Communication_20,Davis,2040-10-01,"Davis, Mako here. Just completed documentation of our sites.…",,
Event_Communication_20,Dolphin Bay,2040-10-01,"Davis, Mako here. Just completed documentation of our sites.…",,
Event_Communication_21,Nemo Reef,2040-10-01,"Mrs. Money, this is Boss. After speaking with The Middleman,…",,
Event_Communication_21,Boss,2040-10-01,"Mrs. Money, this is Boss. After speaking with The Middleman,…",,
Event_Communication_21,Mrs. Money,2040-10-01,"Mrs. Money, this is Boss. After speaking with The Middleman,…",,
Event_Communication_21,The Middleman,2040-10-01,"Mrs. Money, this is Boss. After speaking with The Middleman,…",,
Event_Communication_22,Nemo Reef,2040-10-01,"Middleman, it's Mrs. Money. I've prepared those financial pr…",,
Event_Communication_22,Boss,2040-10-01,"Middleman, it's Mrs. Money. I've prepared those financial pr…",,
Event_Communication_22,Mrs. Money,2040-10-01,"Middleman, it's Mrs. Money. I've prepared those financial pr…",,
Event_Communication_24,Serenity,2040-10-01,"Serenity, Reef Guardian here. I understand your disappointme…",,
Event_Communication_24,Nemo Reef,2040-10-01,"Serenity, Reef Guardian here. I understand your disappointme…",,
Event_Communication_24,Reef Guardian,2040-10-01,"Serenity, Reef Guardian here. I understand your disappointme…",,
Event_Communication_26,Serenity,2040-10-01,"Himark Harbor, this is luxury yacht Serenity. We're planning…",,
Event_Communication_26,Himark Harbor,2040-10-01,"Himark Harbor, this is luxury yacht Serenity. We're planning…",,
Event_Communication_28,Serenity,2040-10-01,Himark Harbor to Serenity. Premium berth confirmed for your …,,
Event_Communication_28,Himark Harbor,2040-10-01,Himark Harbor to Serenity. Premium berth confirmed for your …,,
Event_Communication_30,Nemo Reef,2040-10-01,"Attention Remora, this is Paackland Harbor. We've observed y…",,
Event_Communication_30,Paackland Harbor,2040-10-01,"Attention Remora, this is Paackland Harbor. We've observed y…",,
Event_Communication_30,Remora,2040-10-01,"Attention Remora, this is Paackland Harbor. We've observed y…",,
Event_Communication_32,Sailor Shifts Team,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_32,Sailor Shift,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_32,Paackland Harbor,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_32,Nemo Reef,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_32,Rodriguez,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_32,Remora,2040-10-01,"Paackland Harbor, this is Remora. Acknowledging your warning…",,
Event_Communication_35,Nemo Reef,2040-10-01,This is Paackland Harbor to Oceanus City Council. Reporting …,,
Event_Communication_35,Oceanus City Council,2040-10-01,This is Paackland Harbor to Oceanus City Council. Reporting …,,
Event_Communication_35,Paackland Harbor,2040-10-01,This is Paackland Harbor to Oceanus City Council. Reporting …,,
Event_Communication_37,Nemo Reef,2040-10-01,"Liam, this is Oceanus City Council. We've received reports f…",,
Event_Communication_37,Oceanus City Council,2040-10-01,"Liam, this is Oceanus City Council. We've received reports f…",,
Event_Communication_37,Paackland Harbor,2040-10-01,"Liam, this is Oceanus City Council. We've received reports f…",,
Event_Communication_39,Nemo Reef,2040-10-01,"Mrs. Money, this is The Middleman. I can meet this evening t…",,
Event_Communication_39,Boss,2040-10-01,"Mrs. Money, this is The Middleman. I can meet this evening t…",,
Event_Communication_39,Mrs. Money,2040-10-01,"Mrs. Money, this is The Middleman. I can meet this evening t…",,
Event_Communication_39,The Middleman,2040-10-01,"Mrs. Money, this is The Middleman. I can meet this evening t…",,
Event_Communication_40,Nemo Reef,2040-10-01,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfec…",,
Event_Communication_40,Mrs. Money,2040-10-01,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfec…",,
Event_Communication_40,The Middleman,2040-10-01,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfec…",,
Event_Communication_43,Nemo Reef,2040-10-01,"Council, this is Liam Thorne. I've reviewed the Nemo Reef re…",,
Event_Communication_43,Liam Thorne,2040-10-01,"Council, this is Liam Thorne. I've reviewed the Nemo Reef re…",,
Event_Communication_45,Oceanus City Council,2040-10-01,"Paackland Harbor, this is Oceanus City Council. We've receiv…",,
Event_Communication_45,Paackland Harbor,2040-10-01,"Paackland Harbor, this is Oceanus City Council. We've receiv…",,
Event_Communication_45,Liam Thorne,2040-10-01,"Paackland Harbor, this is Oceanus City Council. We've receiv…",,
Event_Communication_48,Nemo Reef,2040-10-01,"Reef Guardian, Paackland Harbor here. We're seeing increased…",,
Event_Communication_48,Paackland Harbor,2040-10-01,"Reef Guardian, Paackland Harbor here. We're seeing increased…",,
Event_Communication_48,Reef Guardian,2040-10-01,"Reef Guardian, Paackland Harbor here. We're seeing increased…",,
Event_Communication_50,Marlin,2040-10-01,"Himark Harbor, this is Marlin. Another day with half-empty n…",,
Event_Communication_50,Himark Harbor,2040-10-01,"Himark Harbor, this is Marlin. Another day with half-empty n…",,
Event_Communication_51,Marlin,2040-10-01,Himark Harbor to Marlin. We understand your concerns about t…,,
Event_Communication_51,Oceanus City Council,2040-10-01,Himark Harbor to Marlin. We understand your concerns about t…,,
